Row Number,Idx_Sample,Utility,Novelty,Uncertainty,fc 28-d - Target (MPa),Slump - Target (mm),SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff
60,1505,0.060394346714019775,0.4267636614697115,38.485928,48.48695,125.45881,52.295,12.58,0.27,280,120,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857
110,1558,0.0012192726135253906,0.4891907954088667,40.722298,47.82609,129.27069,47.085,18.3,0.45,215,215,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179
12,1410,-0.0010410547256469727,0.999999859133791,43.354843,47.093708,133.80339,52.295,12.58,0.27,315,135,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857
122,1570,-0.002255082130432129,0.9997834685471593,43.35616,47.09252,133.80484,52.295,12.58,0.27,315,135,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857
29,1430,-0.03671741485595703,0.568838944790502,42.634247,47.269653,132.53815,47.085,18.3,0.45,210,210,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34
102,1549,-0.089682936668396,0.43163407731870895,41.15581,47.64431,129.95593,49.69,15.44,0.36,264,176,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857
95,1541,-0.15624511241912842,0.2444886606576253,35.97042,49.038918,120.97976,49.69,15.44,0.36,216,144,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429
15,1413,-0.1567927598953247,0.24440775873870477,35.971165,49.03834,120.98067,49.69,15.44,0.36,216,144,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429
86,1532,-0.20889835059642792,0.43922057981125645,37.874893,48.47461,124.224396,52.295,12.58,0.27,259,111,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107
21,1420,-0.21113292127847672,0.5018481977638548,39.42055,48.043987,126.88509,49.69,15.44,0.36,270,180,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214
75,1520,-0.21247220039367676,0.5017030298313948,39.42195,48.042694,126.8866,49.69,15.44,0.36,270,180,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214
53,1495,-0.24414348602294922,0.1363310762785022,36.288017,48.891346,121.467384,47.085,18.3,0.45,200,200,1043.045,772.95498,1816.0,128.57143,14.79,38.57,16.0,119.78571
69,1514,-0.2644834518432617,0.2525309161653603,36.099842,48.929844,121.129524,49.69,15.44,0.36,234,156,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786
121,1569,-0.3179711103439331,0.8225924029983673,43.392334,46.86913,133.6538,52.295,12.58,0.27,308,132,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571
76,1521,-0.329487681388855,0.0004910066812628813,35.830784,48.960613,120.62218,47.085,18.3,0.45,180,180,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571
19,1418,-0.35828697681427,0.3580481642685235,42.88506,46.982716,132.75284,49.69,15.44,0.36,252,168,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34
